DFlCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09421) : (1.11948)) : (x<50 ? 1.13695:1.14603)) : (x<100 ? (x<80 ? (x<70 ? 1.15247:1.15606) : (1.16316)) : (x<120 ? 1.17343:1.18172))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.18236:1.19282) : (1.20019)) : (x<400 ? 1.18628:1.16701)) : (x<800 ? (x<670 ? 1.14219:1.14715) : (x<1000 ? 1.11478:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.999515) : (1.00061)) : (x<50 ? 1.0009:1.00256)) : (x<100 ? (x<80 ? (x<70 ? 1.00275:1.0028) : (1.00199)) : (x<120 ? 0.999198:0.997297))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991727:0.987594) : (0.987015)) : (x<400 ? 0.97599:0.965978)) : (x<800 ? (x<670 ? 0.952201:0.931244) : (x<1000 ? 0.918145:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994427) : (0.99951)) : (x<50 ? 1.00465:1.00769)) : (x<100 ? (x<80 ? (x<70 ? 1.01031:1.01179) : (1.01244)) : (x<120 ? 1.01306:1.0087))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00232:0.99661) : (0.99141)) : (x<400 ? 0.982406:0.972478)) : (x<800 ? (x<670 ? 0.949888:0.919695) : (x<1000 ? 0.899874:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09228) : (1.11752)) : (x<50 ? 1.13491:1.14386)) : (x<100 ? (x<80 ? (x<70 ? 1.15014:1.15352) : (1.16105)) : (x<120 ? 1.17078:1.17908))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17842:1.18611) : (1.19015)) : (x<400 ? 1.17225:1.14691)) : (x<800 ? (x<670 ? 1.11653:1.09883) : (x<1000 ? 1.05456:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997672) : (0.998646)) : (x<50 ? 0.998781:1.00024)) : (x<100 ? (x<80 ? (x<70 ? 1.00021:0.999982) : (0.99964)) : (x<120 ? 0.996248:0.994423))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.987608:0.980954) : (0.977575)) : (x<400 ? 0.96364:0.950627)) : (x<800 ? (x<670 ? 0.931759:0.886208) : (x<1000 ? 0.853684:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.993437) : (0.998448)) : (x<50 ? 1.00347:1.00638)) : (x<100 ? (x<80 ? (x<70 ? 1.00884:1.01014) : (1.01103)) : (x<120 ? 1.01126:1.00692))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.999783:0.992594) : (0.985882)) : (x<400 ? 0.975206:0.962922)) : (x<800 ? (x<670 ? 0.93759:0.894909) : (x<1000 ? 0.866049:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09615) : (1.12144)) : (x<50 ? 1.139:1.14819)) : (x<100 ? (x<80 ? (x<70 ? 1.1548:1.15861) : (1.16526)) : (x<120 ? 1.17608:1.18435))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.1863:1.19954) : (1.21023)) : (x<400 ? 1.20031:1.18711)) : (x<800 ? (x<670 ? 1.16785:1.19546) : (x<1000 ? 1.17499:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00136) : (1.00258)) : (x<50 ? 1.00303:1.00487)) : (x<100 ? (x<80 ? (x<70 ? 1.00529:1.00561) : (1.00434)) : (x<120 ? 1.00215:1.00017))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.995846:0.994234) : (0.996456)) : (x<400 ? 0.98834:0.98133)) : (x<800 ? (x<670 ? 0.972642:0.976279) : (x<1000 ? 0.982606:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.995416) : (1.00057)) : (x<50 ? 1.00582:1.009)) : (x<100 ? (x<80 ? (x<70 ? 1.01177:1.01344) : (1.01385)) : (x<120 ? 1.01486:1.01047))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00487:1.00063) : (0.996938)) : (x<400 ? 0.989606:0.982035)) : (x<800 ? (x<670 ? 0.962186:0.944481) : (x<1000 ? 0.933698:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11659) : (1.14505)) : (x<50 ? 1.16674:1.17662)) : (x<100 ? (x<80 ? (x<70 ? 1.18745:1.1916) : (1.19958)) : (x<120 ? 1.21375:1.22675))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23491:1.25191) : (1.26449)) : (x<400 ? 1.26865:1.24553)) : (x<800 ? (x<670 ? 1.27591:1.26842) : (x<1000 ? 1.21668:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03202) : (1.02842)) : (x<50 ? 1.02634:1.02658)) : (x<100 ? (x<80 ? (x<70 ? 1.02709:1.027) : (1.02969)) : (x<120 ? 1.02978:1.03581))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04765:1.05912) : (1.07764)) : (x<400 ? 1.09917:1.09435)) : (x<800 ? (x<670 ? 1.10163:1.09799) : (x<1000 ? 1.06898:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15408) : (1.17875)) : (x<50 ? 1.19498:1.2085)) : (x<100 ? (x<80 ? (x<70 ? 1.22493:1.23888) : (1.25722)) : (x<120 ? 1.28534:1.3382))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40366:1.44203) : (1.47112)) : (x<400 ? 1.50597:1.53804)) : (x<800 ? (x<670 ? 1.53076:1.52685) : (x<1000 ? 1.50182:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11463) : (1.14305)) : (x<50 ? 1.16464:1.17439)) : (x<100 ? (x<80 ? (x<70 ? 1.18504:1.18898) : (1.19741)) : (x<120 ? 1.21101:1.22403))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23084:1.245) : (1.25421)) : (x<400 ? 1.25415:1.22498)) : (x<800 ? (x<670 ? 1.24852:1.21793) : (x<1000 ? 1.15528:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02992) : (1.02617)) : (x<50 ? 1.02392:1.02395)) : (x<100 ? (x<80 ? (x<70 ? 1.02421:1.02382) : (1.02702)) : (x<120 ? 1.02643:1.03253))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04287:1.05132) : (1.06637)) : (x<400 ? 1.08402:1.07562)) : (x<800 ? (x<670 ? 1.07614:1.04094) : (x<1000 ? 0.988252:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15253) : (1.17697)) : (x<50 ? 1.19294:1.20618)) : (x<100 ? (x<80 ? (x<70 ? 1.22228:1.23585) : (1.2546)) : (x<120 ? 1.28189:1.33466))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.39843:1.43378) : (1.45984)) : (x<400 ? 1.49125:1.51842)) : (x<800 ? (x<670 ? 1.50564:1.47609) : (x<1000 ? 1.43415:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11854) : (1.14705)) : (x<50 ? 1.16885:1.17885)) : (x<100 ? (x<80 ? (x<70 ? 1.18986:1.19423) : (1.20175)) : (x<120 ? 1.21648:1.22947))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23897:1.25881) : (1.27476)) : (x<400 ? 1.28315:1.26608)) : (x<800 ? (x<670 ? 1.30331:1.3189) : (x<1000 ? 1.27808:0)))" 
