DFlCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.14239) : (1.15611)) : (x<50 ? 1.1746:1.18677)) : (x<100 ? (x<80 ? (x<70 ? 1.19867:1.21475) : (1.2247)) : (x<120 ? 1.23971:1.25091))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.28002:1.36661) : (1.50622)) : (x<400 ? 1.71838:1.88401)) : (x<800 ? (x<670 ? 2.10657:2.20419) : (x<1000 ? 2.79448:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01189) : (1.01124)) : (x<50 ? 1.00982:1.00984)) : (x<100 ? (x<80 ? (x<70 ? 1.00968:1.00971) : (1.00891)) : (x<120 ? 1.01113:1.01135))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.0162:1.02405) : (1.03605)) : (x<400 ? 1.05841:1.06029)) : (x<800 ? (x<670 ? 1.0779:1.1151) : (x<1000 ? 1.12267:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997808) : (1.00246)) : (x<50 ? 1.00312:1.00303)) : (x<100 ? (x<80 ? (x<70 ? 1.00304:1.00383) : (1.00528)) : (x<120 ? 1.00418:0.999812))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993322:0.990942) : (0.990897)) : (x<400 ? 0.990231:0.987344)) : (x<800 ? (x<670 ? 0.986077:0.973624) : (x<1000 ? 0.958869:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.14009) : (1.15383)) : (x<50 ? 1.17223:1.18424)) : (x<100 ? (x<80 ? (x<70 ? 1.19591:1.21168) : (1.22215)) : (x<120 ? 1.23645:1.24759))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.27488:1.35733) : (1.49123)) : (x<400 ? 1.69467:1.84699)) : (x<800 ? (x<670 ? 2.05346:2.10132) : (x<1000 ? 2.62114:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00987) : (1.00911)) : (x<50 ? 1.00755:1.00737)) : (x<100 ? (x<80 ? (x<70 ? 1.00697:1.00669) : (1.0064)) : (x<120 ? 1.00796:1.00822))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01161:1.0165) : (1.02516)) : (x<400 ? 1.04397:1.04223)) : (x<800 ? (x<670 ? 1.05236:1.05617) : (x<1000 ? 1.03893:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.996736) : (1.00131)) : (x<50 ? 1.00187:1.00166)) : (x<100 ? (x<80 ? (x<70 ? 1.0015:1.0021) : (1.00382)) : (x<120 ? 1.00231:0.997951))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.990647:0.986672) : (0.98498)) : (x<400 ? 0.982452:0.97693)) : (x<800 ? (x<670 ? 0.972216:0.94435) : (x<1000 ? 0.918029:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.14468) : (1.1584)) : (x<50 ? 1.17698:1.1893)) : (x<100 ? (x<80 ? (x<70 ? 1.20142:1.21782) : (1.22725)) : (x<120 ? 1.24297:1.25424))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.28516:1.37588) : (1.52121)) : (x<400 ? 1.74209:1.92103)) : (x<800 ? (x<670 ? 2.15968:2.30706) : (x<1000 ? 2.96783:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0139) : (1.01337)) : (x<50 ? 1.0121:1.01231)) : (x<100 ? (x<80 ? (x<70 ? 1.0124:1.01273) : (1.01143)) : (x<120 ? 1.01431:1.01449))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02079:1.03159) : (1.04693)) : (x<400 ? 1.07286:1.07834)) : (x<800 ? (x<670 ? 1.10344:1.17403) : (x<1000 ? 1.20642:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.99888) : (1.0036)) : (x<50 ? 1.00436:1.0044)) : (x<100 ? (x<80 ? (x<70 ? 1.00457:1.00555) : (1.00674)) : (x<120 ? 1.00605:1.00167))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.995997:0.995212) : (0.996814)) : (x<400 ? 0.99801:0.997759)) : (x<800 ? (x<670 ? 0.999938:1.0029) : (x<1000 ? 0.999709:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10521) : (1.12308)) : (x<50 ? 1.14108:1.15523)) : (x<100 ? (x<80 ? (x<70 ? 1.16896:1.18737) : (1.19852)) : (x<120 ? 1.21521:1.22789))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.25366:1.32684) : (1.47032)) : (x<400 ? 1.63917:1.80605)) : (x<800 ? (x<670 ? 1.98228:2.12461) : (x<1000 ? 2.5281:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.965015) : (0.964307)) : (x<50 ? 0.96389:0.967487)) : (x<100 ? (x<80 ? (x<70 ? 0.96819:0.975016) : (0.974958)) : (x<120 ? 0.981509:0.984463))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.996329:1.00446) : (1.02061)) : (x<400 ? 1.05065:1.07038)) : (x<800 ? (x<670 ? 1.07641:1.12605) : (x<1000 ? 1.07825:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01776) : (1.02442)) : (x<50 ? 1.03185:1.04309)) : (x<100 ? (x<80 ? (x<70 ? 1.05759:1.0729) : (1.08935)) : (x<120 ? 1.10823:1.14483))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.19839:1.23639) : (1.28225)) : (x<400 ? 1.31938:1.3476)) : (x<800 ? (x<670 ? 1.40568:1.40688) : (x<1000 ? 1.33274:0)))" 
