ctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05791) : (1.07004)) : (x<50 ? 1.08471:1.09799)) : (x<100 ? (x<80 ? (x<70 ? 1.10736:1.12047) : (1.12907)) : (x<120 ? 1.1482:1.15702))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16979:1.22667) : (1.32696)) : (x<400 ? 1.42077:1.51975)) : (x<800 ? (x<670 ? 1.5974:1.63272) : (x<1000 ? 1.59941:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994594) : (0.998168)) : (x<50 ? 0.998374:1.00047)) : (x<100 ? (x<80 ? (x<70 ? 1.00289:1.00445) : (1.00406)) : (x<120 ? 1.00614:1.00705))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01175:1.01791) : (1.02869)) : (x<400 ? 1.02907:1.03598)) : (x<800 ? (x<670 ? 1.03354:1.04956) : (x<1000 ? 1.05313:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.979439) : (0.985587)) : (x<50 ? 0.989353:0.992069)) : (x<100 ? (x<80 ? (x<70 ? 0.992665:0.992779) : (0.994007)) : (x<120 ? 0.994127:0.992461))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.994646:0.995348) : (1.00176)) : (x<400 ? 1.00131:1.00511)) : (x<800 ? (x<670 ? 1.00296:0.995664) : (x<1000 ? 0.985992:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05554) : (1.0676)) : (x<50 ? 1.08208:1.09571)) : (x<100 ? (x<80 ? (x<70 ? 1.10461:1.11753) : (1.12633)) : (x<120 ? 1.14517:1.15444))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16476:1.21549) : (1.31737)) : (x<400 ? 1.40697:1.46484)) : (x<800 ? (x<670 ? 1.57095:1.58359) : (x<1000 ? 1.53962:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.99227) : (0.995972)) : (x<50 ? 0.995697:0.996957)) : (x<100 ? (x<80 ? (x<70 ? 1.00009:0.999849) : (1.00066)) : (x<120 ? 1.00219:1.00288))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00602:1.01044) : (1.01799)) : (x<400 ? 1.01517:1.01921)) : (x<800 ? (x<670 ? 1.00983:0.997969) : (x<1000 ? 0.979545:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.978152) : (0.984185)) : (x<50 ? 0.987865:0.990483)) : (x<100 ? (x<80 ? (x<70 ? 0.990451:0.990691) : (0.992352)) : (x<120 ? 0.992003:0.990301))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991498:0.989951) : (0.993204)) : (x<400 ? 0.993327:0.994405)) : (x<800 ? (x<670 ? 0.988635:0.966151) : (x<1000 ? 0.944458:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06028) : (1.07248)) : (x<50 ? 1.08734:1.10027)) : (x<100 ? (x<80 ? (x<70 ? 1.11011:1.12342) : (1.13182)) : (x<120 ? 1.15123:1.1596))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17482:1.23784) : (1.33655)) : (x<400 ? 1.43458:1.57466)) : (x<800 ? (x<670 ? 1.62384:1.68185) : (x<1000 ? 1.6592:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.996919) : (1.00036)) : (x<50 ? 1.00105:1.00399)) : (x<100 ? (x<80 ? (x<70 ? 1.00568:1.00905) : (1.00747)) : (x<120 ? 1.0101:1.01123))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01747:1.02537) : (1.03939)) : (x<400 ? 1.04296:1.05275)) : (x<800 ? (x<670 ? 1.05725:1.10115) : (x<1000 ? 1.12671:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.980726) : (0.986989)) : (x<50 ? 0.990842:0.993655)) : (x<100 ? (x<80 ? (x<70 ? 0.994879:0.994866) : (0.995662)) : (x<120 ? 0.996251:0.994622))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.997794:1.00074) : (1.01031)) : (x<400 ? 1.0093:1.01581)) : (x<800 ? (x<670 ? 1.01728:1.02518) : (x<1000 ? 1.02753:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03779) : (1.05508)) : (x<50 ? 1.07754:1.08834)) : (x<100 ? (x<80 ? (x<70 ? 1.10094:1.11323) : (1.11702)) : (x<120 ? 1.13835:1.14942))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17:1.2395) : (1.40252)) : (x<400 ? 1.52592:1.77364)) : (x<800 ? (x<670 ? 1.79767:1.82636) : (x<1000 ? 1.87999:0)))" 
