deepcsvCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02799) : (1.0366)) : (x<50 ? 1.04611:1.05677)) : (x<100 ? (x<80 ? (x<70 ? 1.0635:1.06724) : (1.07674)) : (x<120 ? 1.0805:1.07822))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.08643:1.15551) : (1.24403)) : (x<400 ? 1.40985:1.52156)) : (x<800 ? (x<670 ? 1.70139:1.7508) : (x<1000 ? 1.8693:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95974) : (0.96599)) : (x<50 ? 0.972996:0.975037)) : (x<100 ? (x<80 ? (x<70 ? 0.976736:0.977664) : (0.979472)) : (x<120 ? 0.97821:0.978639))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.982181:0.99049) : (0.998779)) : (x<400 ? 1.00236:0.985144)) : (x<800 ? (x<670 ? 0.988961:1.00587) : (x<1000 ? 1.01871:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.946133) : (0.955369)) : (x<50 ? 0.962806:0.968618)) : (x<100 ? (x<80 ? (x<70 ? 0.971112:0.972334) : (0.972707)) : (x<120 ? 0.972736:0.971769))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.97012:0.96648) : (0.963826)) : (x<400 ? 0.956126:0.944673)) : (x<800 ? (x<670 ? 0.938052:0.91759) : (x<1000 ? 0.904469:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02577) : (1.03441)) : (x<50 ? 1.0439:1.05446)) : (x<100 ? (x<80 ? (x<70 ? 1.06104:1.06457) : (1.07454)) : (x<120 ? 1.07776:1.07551))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.08241:1.1484) : (1.23295)) : (x<400 ? 1.39235:1.49449)) : (x<800 ? (x<670 ? 1.66276:1.679) : (x<1000 ? 1.77509:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.957844) : (0.963978)) : (x<50 ? 0.970846:0.972707)) : (x<100 ? (x<80 ? (x<70 ? 0.97418:0.974829) : (0.977111)) : (x<120 ? 0.975239:0.975693))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.977876:0.983406) : (0.98861)) : (x<400 ? 0.989017:0.968629)) : (x<800 ? (x<670 ? 0.966399:0.955754) : (x<1000 ? 0.946377:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.945141) : (0.954319)) : (x<50 ? 0.961669:0.967365)) : (x<100 ? (x<80 ? (x<70 ? 0.969715:0.970767) : (0.971384)) : (x<120 ? 0.971042:0.970075))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.967656:0.962546) : (0.958358)) : (x<400 ? 0.948966:0.935185)) : (x<800 ? (x<670 ? 0.925511:0.891877) : (x<1000 ? 0.868782:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0302) : (1.03879)) : (x<50 ? 1.04832:1.05908)) : (x<100 ? (x<80 ? (x<70 ? 1.06595:1.0699) : (1.07893)) : (x<120 ? 1.08323:1.08093))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.09046:1.16262) : (1.2551)) : (x<400 ? 1.42735:1.54862)) : (x<800 ? (x<670 ? 1.74001:1.82261) : (x<1000 ? 1.96352:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.961636) : (0.968001)) : (x<50 ? 0.975147:0.977367)) : (x<100 ? (x<80 ? (x<70 ? 0.979291:0.980498) : (0.981833)) : (x<120 ? 0.98118:0.981585))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.986486:0.997574) : (1.00895)) : (x<400 ? 1.0157:1.00166)) : (x<800 ? (x<670 ? 1.01152:1.05598) : (x<1000 ? 1.09104:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.947124) : (0.956418)) : (x<50 ? 0.963942:0.969872)) : (x<100 ? (x<80 ? (x<70 ? 0.97251:0.973902) : (0.974031)) : (x<120 ? 0.97443:0.973463))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972583:0.970414) : (0.969295)) : (x<400 ? 0.963285:0.954162)) : (x<800 ? (x<670 ? 0.950592:0.943303) : (x<1000 ? 0.940157:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06513) : (1.07326)) : (x<50 ? 1.08481:1.09578)) : (x<100 ? (x<80 ? (x<70 ? 1.10627:1.11235) : (1.12446)) : (x<120 ? 1.13019:1.12814))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.13755:1.19714) : (1.30692)) : (x<400 ? 1.47489:1.58515)) : (x<800 ? (x<670 ? 1.74537:1.78352) : (x<1000 ? 1.81252:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00662) : (1.01384)) : (x<50 ? 1.02068:1.02776)) : (x<100 ? (x<80 ? (x<70 ? 1.03078:1.03404) : (1.03829)) : (x<120 ? 1.04681:1.05155))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.06812:1.08047) : (1.10419)) : (x<400 ? 1.10566:1.11607)) : (x<800 ? (x<670 ? 1.1186:1.18948) : (x<1000 ? 1.163:0)))" 
