mGluino [GeV], NLO+NLL Cross section [pb],Uncertainty (NLO + NLL) [%],NNLO+NNLL Cross section [pb],Uncertainty (NNLOapprox + NNLL) [%]
200.0,3574.52,14.0616,,
205.0,3183.21,14.0078,,
210.0,2832.93,13.9497,,
215.0,2528.15,13.9683,,
220.0,2259.15,14.1828,,
225.0,2021.29,13.8804,,
230.0,1813.06,14.0218,,
235.0,1630.97,13.7824,,
240.0,1468.71,14.1371,,
245.0,1321.73,14.1639,,
250.0,1190.35,13.79,,
255.0,1079.09,14.1224,,
260.0,974.613,13.8033,,
265.0,884.867,13.9004,,
270.0,803.354,13.9615,,
275.0,730.663,13.9062,,
280.0,664.936,13.9583,,
285.0,605.955,13.8771,,
290.0,553.028,13.9562,,
295.0,505.51,13.892,,
300.0,462.593,13.8965,,
305.0,423.86,13.8693,,
310.0,388.489,13.931,,
315.0,357.206,13.9637,,
320.0,328.507,13.8359,,
325.0,302.328,13.7667,,
330.0,278.679,13.9051,,
335.0,257.028,14.0072,,
340.0,236.848,13.8858,,
345.0,219.27,13.9344,,
350.0,202.663,14.0017,,
355.0,188.12,13.9853,,
360.0,174.5,13.9599,,
365.0,161.954,13.9485,,
370.0,150.415,13.8693,,
375.0,139.838,13.7851,,
380.0,129.783,14.1158,,
385.0,121.226,13.8818,,
390.0,112.715,13.7689,,
395.0,105.154,13.5329,,
400.0,98.0459,13.8343,,
405.0,91.457,13.8074,,
410.0,85.32,13.8223,,
415.0,79.7218,13.8008,,
420.0,74.5365,13.8464,,
425.0,69.7057,13.796,,
430.0,65.2467,13.8063,,
435.0,61.0917,13.7678,,
440.0,57.2741,13.8107,,
445.0,53.7048,13.7458,,
450.0,50.4009,13.771,,
455.0,47.2946,13.7682,,
460.0,44.3848,13.7604,,
465.0,41.734,13.8596,,
470.0,39.2299,13.7836,,
475.0,36.9223,13.7173,,
480.0,34.7729,13.7767,,
485.0,32.7265,13.8065,,
490.0,30.8133,13.6781,,
495.0,29.0606,13.7001,,
500.0,27.4171,13.6843,33.8,7.86
505.0,25.8591,13.6726,31.9,7.89
510.0,24.4095,13.6471,30.1,7.92
515.0,23.0195,13.8083,28.4,7.96
520.0,21.7643,13.7462,26.8,8.0
525.0,20.5106,13.7124,25.3,8.03
530.0,19.4189,13.8652,24.0,8.07
535.0,18.3635,13.7629,22.7,8.11
540.0,17.4166,13.5766,21.4,8.14
545.0,16.4219,13.7981,20.3,8.18
550.0,15.5705,13.6046,19.2,8.22
555.0,14.7736,13.7213,18.2,8.26
560.0,13.9732,13.9263,17.2,8.3
565.0,13.2291,13.686,16.3,8.34
570.0,12.5756,13.4127,15.5,8.37
575.0,11.9324,13.9887,14.7,8.41
580.0,11.2814,13.7528,13.9,8.45
585.0,10.7311,13.3747,13.2,8.49
590.0,10.1857,14.0044,12.6,8.53
595.0,9.68722,13.7127,11.9,8.57
600.0,9.20353,13.7185,11.3,8.62
605.0,8.74315,13.7502,10.8,8.66
610.0,8.30988,13.6818,10.2,8.7
615.0,7.9012,13.7122,9.74,8.74
